feedback_id,survey_id,guest_id,store_id,feedback_date,product_name,product_category,seasonal_flag,seasonal_drink_awareness,trial_flag,product_rating,repeat_purchase_intent,sweetness_feedback,price_value_feedback,guest_segment,data_source
PFD-000031,SVY-000046,GST-000046,BB-039,2024-02-17,Oat Milk Cortado,espresso,0,0,1,4,4,balanced,fair,seasonal_product_explorer,synthetic
PFD-000032,SVY-000047,GST-000047,BB-082,2024-06-10,Avocado Toast,food,0,0,1,4,4,not_sweet_enough,too_expensive,price_sensitive_guest,synthetic
PFD-000033,SVY-000049,GST-000049,BB-084,2024-01-12,Caramel Macchiato,espresso,0,0,1,2,3,too_sweet,good_value,loyalty_regular,synthetic
PFD-000034,SVY-000050,GST-000050,BB-087,2024-02-28,Chai Tea Latte,tea,0,1,1,3,2,too_sweet,too_expensive,mobile_first_guest,synthetic
PFD-000035,SVY-000051,GST-000051,BB-079,2024-02-22,Chocolate Croissant,bakery,0,1,1,5,3,balanced,too_expensive,mobile_first_guest,synthetic
PFD-000036,SVY-000054,GST-000054,BB-077,2024-05-14,Turkey Sandwich,food,0,1,1,4,3,balanced,fair,mobile_first_guest,synthetic
PFD-000037,SVY-000058,GST-000058,BB-089,2024-05-26,Turkey Sandwich,food,0,0,1,4,5,balanced,fair,loyalty_regular,synthetic
PFD-000038,SVY-000060,GST-000060,BB-088,2024-01-12,Avocado Toast,food,0,1,1,3,5,balanced,fair,occasional_guest,synthetic
PFD-000039,SVY-000061,GST-000061,BB-072,2024-04-12,Breakfast Burrito,food,0,0,1,5,2,balanced,fair,mobile_first_guest,synthetic
PFD-000040,SVY-000062,GST-000062,BB-042,2024-05-21,Chai Tea Latte,tea,0,0,1,3,2,too_sweet,fair,at_risk_guest,synthetic
PFD-000041,SVY-000063,GST-000063,BB-016,2024-01-21,Nitro Cold Brew,cold_brew,0,0,1,5,5,too_sweet,fair,loyalty_regular,synthetic
PFD-000042,SVY-000064,GST-000064,BB-021,2024-01-17,Iced Matcha Latte,tea,0,0,1,4,4,too_sweet,good_value,occasional_guest,synthetic
PFD-000043,SVY-000066,GST-000066,BB-022,2024-04-17,Pumpkin Spice Latte,espresso,1,1,1,5,4,balanced,good_value,price_sensitive_guest,synthetic
PFD-000044,SVY-000067,GST-000067,BB-077,2024-04-18,Cold Brew,cold_brew,0,0,1,5,4,balanced,good_value,price_sensitive_guest,synthetic
PFD-000045,SVY-000068,GST-000068,BB-014,2024-05-14,Turkey Sandwich,food,0,0,1,4,5,balanced,good_value,loyalty_regular,synthetic
PFD-000046,SVY-000070,GST-000070,BB-068,2024-05-21,Cold Brew,cold_brew,0,1,1,4,3,too_sweet,fair,seasonal_product_explorer,synthetic
PFD-000047,SVY-000074,GST-000074,BB-006,2024-02-05,Seasonal Cold Brew,cold_brew,1,1,1,3,1,too_sweet,fair,at_risk_guest,synthetic
PFD-000048,SVY-000075,GST-000075,BB-022,2024-04-13,Blueberry Muffin,bakery,0,1,1,4,3,balanced,fair,occasional_guest,synthetic
PFD-000049,SVY-000076,GST-000076,BB-090,2024-04-13,Pumpkin Spice Latte,espresso,1,1,1,5,1,too_sweet,good_value,loyalty_regular,synthetic
PFD-000050,SVY-000079,GST-000079,BB-037,2024-01-18,Iced Matcha Latte,tea,0,0,1,5,5,not_sweet_enough,fair,loyalty_regular,synthetic
PFD-000051,SVY-000080,GST-000080,BB-069,2024-04-22,Nitro Cold Brew,cold_brew,0,0,1,3,1,balanced,good_value,loyalty_regular,synthetic
PFD-000052,SVY-000082,GST-000082,BB-083,2024-05-10,Oat Milk Cortado,espresso,0,1,1,3,2,not_sweet_enough,too_expensive,at_risk_guest,synthetic
PFD-000053,SVY-000083,GST-000083,BB-081,2024-03-22,Turkey Sandwich,food,0,0,1,5,2,balanced,good_value,occasional_guest,synthetic
PFD-000054,SVY-000084,GST-000084,BB-079,2024-03-04,Caramel Macchiato,espresso,0,1,1,4,3,balanced,good_value,loyalty_regular,synthetic
PFD-000055,SVY-000085,GST-000085,BB-003,2024-06-24,Nitro Cold Brew,cold_brew,0,0,1,2,2,balanced,fair,at_risk_guest,synthetic
PFD-000056,SVY-000087,GST-000087,BB-075,2024-05-21,Oat Milk Cortado,espresso,0,0,1,3,2,too_sweet,too_expensive,mobile_first_guest,synthetic
PFD-000057,SVY-000088,GST-000088,BB-016,2024-02-17,Pumpkin Spice Latte,espresso,1,1,1,4,3,not_sweet_enough,fair,occasional_guest,synthetic
PFD-000058,SVY-000089,GST-000089,BB-052,2024-03-19,Breakfast Burrito,food,0,0,1,5,4,balanced,too_expensive,occasional_guest,synthetic
PFD-000059,SVY-000090,GST-000090,BB-021,2024-01-16,Chai Tea Latte,tea,0,1,1,4,4,balanced,too_expensive,occasional_guest,synthetic
PFD-000060,SVY-000092,GST-000092,BB-067,2024-05-19,Blueberry Muffin,bakery,0,0,1,4,4,balanced,too_expensive,loyalty_regular,synthetic
PFD-000061,SVY-000093,GST-000093,BB-047,2024-05-10,Chai Tea Latte,tea,0,1,1,4,3,balanced,too_expensive,seasonal_product_explorer,synthetic
PFD-000062,SVY-000097,GST-000097,BB-042,2024-06-22,Turkey Sandwich,food,0,0,1,4,4,too_sweet,good_value,loyalty_regular,synthetic
PFD-000063,SVY-000098,GST-000098,BB-046,2024-06-21,Blueberry Muffin,bakery,0,0,1,4,3,too_sweet,good_value,occasional_guest,synthetic
PFD-000064,SVY-000100,GST-000100,BB-084,2024-02-06,Breakfast Burrito,food,0,0,1,4,4,too_sweet,too_expensive,loyalty_regular,synthetic
PFD-000065,SVY-000105,GST-000105,BB-039,2024-01-02,Blueberry Muffin,bakery,0,0,1,5,3,not_sweet_enough,good_value,mobile_first_guest,synthetic
PFD-000066,SVY-000106,GST-000106,BB-049,2024-03-09,Blueberry Muffin,bakery,0,0,1,3,1,balanced,fair,mobile_first_guest,synthetic
PFD-000067,SVY-000108,GST-000108,BB-045,2024-02-28,Oat Milk Cortado,espresso,0,0,1,4,3,too_sweet,too_expensive,at_risk_guest,synthetic
PFD-000068,SVY-000111,GST-000111,BB-004,2024-01-21,Oat Milk Cortado,espresso,0,1,1,4,3,balanced,good_value,mobile_first_guest,synthetic
PFD-000069,SVY-000113,GST-000113,BB-037,2024-01-13,Chocolate Croissant,bakery,0,0,1,4,3,balanced,fair,occasional_guest,synthetic
PFD-000070,SVY-000114,GST-000114,BB-076,2024-05-18,Classic Latte,espresso,0,1,1,3,2,balanced,fair,at_risk_guest,synthetic
PFD-000071,SVY-000115,GST-000115,BB-069,2024-02-03,Chocolate Croissant,bakery,0,0,1,3,2,not_sweet_enough,fair,seasonal_product_explorer,synthetic
PFD-000072,SVY-000117,GST-000117,BB-088,2024-03-10,Seasonal Cold Brew,cold_brew,1,1,1,4,4,too_sweet,good_value,seasonal_product_explorer,synthetic
PFD-000073,SVY-000118,GST-000118,BB-006,2024-05-10,Breakfast Burrito,food,0,1,1,4,3,too_sweet,too_expensive,mobile_first_guest,synthetic
PFD-000074,SVY-000119,GST-000119,BB-066,2024-05-03,Cold Brew,cold_brew,0,0,1,5,4,too_sweet,good_value,occasional_guest,synthetic
PFD-000075,SVY-000120,GST-000120,BB-039,2024-03-22,Pumpkin Spice Latte,espresso,1,1,1,5,2,too_sweet,good_value,loyalty_regular,synthetic
PFD-000076,SVY-000121,GST-000121,BB-080,2024-02-29,Turkey Sandwich,food,0,0,1,5,5,balanced,fair,loyalty_regular,synthetic
PFD-000077,SVY-000125,GST-000125,BB-028,2024-02-08,Blueberry Muffin,bakery,0,0,1,2,1,balanced,fair,at_risk_guest,synthetic
PFD-000078,SVY-000127,GST-000127,BB-017,2024-03-17,Seasonal Cold Brew,cold_brew,1,1,1,3,5,balanced,good_value,seasonal_product_explorer,synthetic
PFD-000079,SVY-000128,GST-000128,BB-053,2024-03-31,Caramel Macchiato,espresso,0,0,1,4,5,balanced,fair,occasional_guest,synthetic
PFD-000080,SVY-000129,GST-000129,BB-028,2024-06-09,Avocado Toast,food,0,1,1,3,2,not_sweet_enough,fair,price_sensitive_guest,synthetic
PFD-000081,SVY-000132,GST-000132,BB-005,2024-01-02,Pumpkin Spice Latte,espresso,1,1,1,5,2,balanced,good_value,seasonal_product_explorer,synthetic
PFD-000082,SVY-000133,GST-000133,BB-018,2024-04-07,Chai Tea Latte,tea,0,1,1,5,4,balanced,good_value,loyalty_regular,synthetic
PFD-000083,SVY-000134,GST-000134,BB-089,2024-05-03,Avocado Toast,food,0,0,1,4,5,not_sweet_enough,good_value,occasional_guest,synthetic
PFD-000084,SVY-000136,GST-000136,BB-041,2024-04-30,Pumpkin Spice Latte,espresso,1,1,1,4,3,balanced,too_expensive,seasonal_product_explorer,synthetic
PFD-000085,SVY-000137,GST-000137,BB-066,2024-06-11,Pumpkin Spice Latte,espresso,1,1,1,3,3,not_sweet_enough,too_expensive,price_sensitive_guest,synthetic
PFD-000086,SVY-000138,GST-000138,BB-054,2024-05-29,Nitro Cold Brew,cold_brew,0,1,1,2,1,too_sweet,good_value,mobile_first_guest,synthetic
PFD-000087,SVY-000141,GST-000141,BB-059,2024-05-26,Oat Milk Cortado,espresso,0,0,1,1,1,too_sweet,fair,mobile_first_guest,synthetic
PFD-000088,SVY-000142,GST-000142,BB-057,2024-03-07,Turkey Sandwich,food,0,0,1,4,1,balanced,too_expensive,at_risk_guest,synthetic
PFD-000089,SVY-000143,GST-000143,BB-071,2024-02-13,Caramel Macchiato,espresso,0,0,1,3,3,not_sweet_enough,fair,occasional_guest,synthetic
PFD-000090,SVY-000145,GST-000145,BB-037,2024-06-17,Chocolate Croissant,bakery,0,0,1,4,4,balanced,too_expensive,loyalty_regular,synthetic
PFD-000091,SVY-000147,GST-000147,BB-059,2024-01-19,Iced Matcha Latte,tea,0,0,1,4,4,too_sweet,good_value,loyalty_regular,synthetic
PFD-000092,SVY-000148,GST-000148,BB-056,2024-01-27,Pumpkin Spice Latte,espresso,1,1,1,4,4,balanced,fair,loyalty_regular,synthetic
PFD-000093,SVY-000149,GST-000149,BB-082,2024-05-30,Nitro Cold Brew,cold_brew,0,1,1,3,3,balanced,fair,at_risk_guest,synthetic
PFD-000094,SVY-000151,GST-000151,BB-067,2024-05-18,Blueberry Muffin,bakery,0,0,1,5,4,balanced,good_value,seasonal_product_explorer,synthetic
PFD-000095,SVY-000153,GST-000153,BB-044,2024-03-06,Iced Matcha Latte,tea,0,0,1,3,3,balanced,good_value,mobile_first_guest,synthetic
PFD-000096,SVY-000155,GST-000155,BB-037,2024-03-01,Seasonal Cold Brew,cold_brew,1,1,1,4,3,balanced,fair,seasonal_product_explorer,synthetic
PFD-000097,SVY-000157,GST-000157,BB-001,2024-02-08,Cold Brew,cold_brew,0,0,1,4,3,balanced,good_value,occasional_guest,synthetic
PFD-000098,SVY-000158,GST-000158,BB-034,2024-05-18,Seasonal Cold Brew,cold_brew,1,1,1,3,3,too_sweet,good_value,seasonal_product_explorer,synthetic
PFD-000099,SVY-000160,GST-000160,BB-072,2024-01-30,Blueberry Muffin,bakery,0,0,1,2,1,too_sweet,fair,at_risk_guest,synthetic
PFD-000100,SVY-000161,GST-000161,BB-021,2024-06-02,Cold Brew,cold_brew,0,0,1,4,2,not_sweet_enough,fair,price_sensitive_guest,synthetic
PFD-000101,SVY-000162,GST-000162,BB-063,2024-03-04,Pumpkin Spice Latte,espresso,1,1,1,4,4,balanced,fair,seasonal_product_explorer,synthetic
PFD-000102,SVY-000163,GST-000163,BB-079,2024-06-25,Nitro Cold Brew,cold_brew,0,0,1,1,1,not_sweet_enough,too_expensive,price_sensitive_guest,synthetic
PFD-000103,SVY-000164,GST-000164,BB-067,2024-06-26,Nitro Cold Brew,cold_brew,0,0,1,2,2,balanced,good_value,mobile_first_guest,synthetic
PFD-000104,SVY-000166,GST-000166,BB-074,2024-03-19,Classic Latte,espresso,0,0,1,3,3,balanced,fair,occasional_guest,synthetic
PFD-000105,SVY-000167,GST-000167,BB-038,2024-01-23,Avocado Toast,food,0,0,1,4,3,not_sweet_enough,good_value,mobile_first_guest,synthetic
PFD-000106,SVY-000168,GST-000168,BB-010,2024-01-30,Classic Latte,espresso,0,1,1,3,2,balanced,good_value,mobile_first_guest,synthetic
PFD-000107,SVY-000172,GST-000172,BB-044,2024-04-30,Classic Latte,espresso,0,0,1,3,2,too_sweet,good_value,occasional_guest,synthetic
PFD-000108,SVY-000173,GST-000173,BB-087,2024-05-14,Nitro Cold Brew,cold_brew,0,0,1,2,1,not_sweet_enough,good_value,at_risk_guest,synthetic
PFD-000109,SVY-000175,GST-000175,BB-065,2024-04-19,Seasonal Cold Brew,cold_brew,1,1,1,4,4,balanced,good_value,price_sensitive_guest,synthetic
PFD-000110,SVY-000178,GST-000178,BB-032,2024-01-17,Chai Tea Latte,tea,0,0,1,3,4,balanced,good_value,loyalty_regular,synthetic
PFD-000111,SVY-000180,GST-000180,BB-089,2024-05-15,Blueberry Muffin,bakery,0,0,1,5,4,too_sweet,too_expensive,mobile_first_guest,synthetic
PFD-000112,SVY-000181,GST-000181,BB-026,2024-01-13,Blueberry Muffin,bakery,0,0,1,4,4,not_sweet_enough,too_expensive,mobile_first_guest,synthetic
PFD-000113,SVY-000182,GST-000182,BB-067,2024-05-27,Turkey Sandwich,food,0,0,1,1,1,balanced,good_value,at_risk_guest,synthetic
PFD-000114,SVY-000183,GST-000183,BB-020,2024-01-10,Breakfast Burrito,food,0,0,1,3,1,balanced,good_value,occasional_guest,synthetic
PFD-000115,SVY-000186,GST-000186,BB-040,2024-06-19,Breakfast Burrito,food,0,0,1,3,2,too_sweet,too_expensive,at_risk_guest,synthetic
PFD-000116,SVY-000187,GST-000187,BB-007,2024-01-09,Pumpkin Spice Latte,espresso,1,0,1,5,5,balanced,too_expensive,seasonal_product_explorer,synthetic
PFD-000117,SVY-000189,GST-000189,BB-090,2024-05-29,Seasonal Cold Brew,cold_brew,1,0,1,4,1,too_sweet,fair,price_sensitive_guest,synthetic
PFD-000118,SVY-000190,GST-000190,BB-006,2024-02-01,Pumpkin Spice Latte,espresso,1,1,1,5,5,balanced,fair,loyalty_regular,synthetic
PFD-000119,SVY-000191,GST-000191,BB-010,2024-04-23,Classic Latte,espresso,0,1,1,5,4,not_sweet_enough,too_expensive,loyalty_regular,synthetic
PFD-000120,SVY-000192,GST-000192,BB-064,2024-03-04,Avocado Toast,food,0,0,1,5,4,too_sweet,fair,seasonal_product_explorer,synthetic
PFD-000121,SVY-000193,GST-000193,BB-073,2024-02-13,Oat Milk Cortado,espresso,0,0,1,3,3,balanced,fair,price_sensitive_guest,synthetic
PFD-000122,SVY-000194,GST-000194,BB-031,2024-03-05,Pumpkin Spice Latte,espresso,1,0,1,1,1,balanced,good_value,at_risk_guest,synthetic
PFD-000123,SVY-000195,GST-000195,BB-026,2024-01-12,Avocado Toast,food,0,0,1,3,1,balanced,fair,mobile_first_guest,synthetic
PFD-000124,SVY-000198,GST-000198,BB-046,2024-04-14,Turkey Sandwich,food,0,0,1,3,2,too_sweet,too_expensive,mobile_first_guest,synthetic
PFD-000125,SVY-000203,GST-000203,BB-054,2024-05-11,Blueberry Muffin,bakery,0,0,1,3,4,balanced,good_value,mobile_first_guest,synthetic
PFD-000126,SVY-000204,GST-000204,BB-001,2024-03-17,Breakfast Burrito,food,0,0,1,3,3,not_sweet_enough,fair,at_risk_guest,synthetic
PFD-000127,SVY-000207,GST-000207,BB-057,2024-03-18,Avocado Toast,food,0,1,1,4,4,balanced,fair,seasonal_product_explorer,synthetic
PFD-000128,SVY-000208,GST-000208,BB-051,2024-05-28,Pumpkin Spice Latte,espresso,1,1,1,4,1,too_sweet,fair,mobile_first_guest,synthetic
PFD-000129,SVY-000209,GST-000209,BB-080,2024-02-06,Cold Brew,cold_brew,0,0,1,4,2,not_sweet_enough,fair,occasional_guest,synthetic
PFD-000130,SVY-000210,GST-000210,BB-002,2024-06-12,Oat Milk Cortado,espresso,0,0,1,4,3,balanced,too_expensive,seasonal_product_explorer,synthetic
PFD-000131,SVY-000211,GST-000211,BB-043,2024-04-09,Turkey Sandwich,food,0,0,1,3,3,not_sweet_enough,good_value,mobile_first_guest,synthetic
PFD-000132,SVY-000212,GST-000212,BB-068,2024-05-06,Chocolate Croissant,bakery,0,0,1,3,2,balanced,too_expensive,price_sensitive_guest,synthetic
PFD-000133,SVY-000213,GST-000213,BB-039,2024-02-14,Avocado Toast,food,0,0,1,5,4,balanced,too_expensive,mobile_first_guest,synthetic
PFD-000134,SVY-000216,GST-000216,BB-050,2024-06-09,Chocolate Croissant,bakery,0,0,1,2,1,not_sweet_enough,too_expensive,at_risk_guest,synthetic
PFD-000135,SVY-000217,GST-000217,BB-028,2024-01-03,Chocolate Croissant,bakery,0,1,1,2,1,too_sweet,too_expensive,seasonal_product_explorer,synthetic
PFD-000136,SVY-000218,GST-000218,BB-076,2024-03-28,Chocolate Croissant,bakery,0,0,1,3,3,balanced,good_value,occasional_guest,synthetic
PFD-000137,SVY-000219,GST-000219,BB-072,2024-02-17,Chai Tea Latte,tea,0,0,1,3,1,not_sweet_enough,too_expensive,occasional_guest,synthetic
PFD-000138,SVY-000223,GST-000223,BB-007,2024-02-19,Seasonal Cold Brew,cold_brew,1,1,1,4,3,too_sweet,good_value,seasonal_product_explorer,synthetic
PFD-000139,SVY-000224,GST-000224,BB-078,2024-02-14,Breakfast Burrito,food,0,0,1,4,4,too_sweet,good_value,occasional_guest,synthetic
PFD-000140,SVY-000225,GST-000225,BB-063,2024-03-08,Classic Latte,espresso,0,0,1,4,3,balanced,fair,occasional_guest,synthetic
PFD-000141,SVY-000226,GST-000226,BB-053,2024-02-28,Iced Matcha Latte,tea,0,1,1,4,2,balanced,good_value,occasional_guest,synthetic
PFD-000142,SVY-000227,GST-000227,BB-004,2024-01-15,Iced Matcha Latte,tea,0,1,1,2,2,too_sweet,good_value,price_sensitive_guest,synthetic
PFD-000143,SVY-000229,GST-000229,BB-045,2024-03-22,Breakfast Burrito,food,0,1,1,3,2,too_sweet,fair,price_sensitive_guest,synthetic
PFD-000144,SVY-000231,GST-000231,BB-024,2024-02-12,Seasonal Cold Brew,cold_brew,1,0,1,3,2,balanced,good_value,at_risk_guest,synthetic
PFD-000145,SVY-000232,GST-000232,BB-090,2024-01-30,Breakfast Burrito,food,0,1,1,4,4,balanced,too_expensive,occasional_guest,synthetic
PFD-000146,SVY-000233,GST-000233,BB-074,2024-02-05,Cold Brew,cold_brew,0,0,1,4,4,too_sweet,good_value,seasonal_product_explorer,synthetic
PFD-000147,SVY-000235,GST-000235,BB-002,2024-02-10,Caramel Macchiato,espresso,0,0,1,4,5,balanced,good_value,loyalty_regular,synthetic
PFD-000148,SVY-000236,GST-000236,BB-040,2024-01-12,Caramel Macchiato,espresso,0,1,1,3,3,not_sweet_enough,good_value,occasional_guest,synthetic
PFD-000149,SVY-000238,GST-000238,BB-059,2024-05-03,Chocolate Croissant,bakery,0,0,1,2,2,balanced,too_expensive,price_sensitive_guest,synthetic
PFD-000150,SVY-000240,GST-000240,BB-044,2024-04-22,Nitro Cold Brew,cold_brew,0,1,1,5,3,not_sweet_enough,fair,occasional_guest,synthetic
PFD-000151,SVY-000241,GST-000241,BB-065,2024-06-20,Seasonal Cold Brew,cold_brew,1,1,1,4,4,balanced,fair,mobile_first_guest,synthetic
PFD-000152,SVY-000242,GST-000242,BB-030,2024-04-22,Iced Matcha Latte,tea,0,1,1,4,4,balanced,fair,occasional_guest,synthetic
PFD-000153,SVY-000243,GST-000243,BB-047,2024-02-19,Chocolate Croissant,bakery,0,1,1,4,4,not_sweet_enough,fair,mobile_first_guest,synthetic
PFD-000154,SVY-000244,GST-000244,BB-020,2024-06-16,Seasonal Cold Brew,cold_brew,1,1,1,5,3,not_sweet_enough,good_value,mobile_first_guest,synthetic
PFD-000155,SVY-000245,GST-000245,BB-059,2024-01-21,Iced Matcha Latte,tea,0,0,1,3,4,too_sweet,fair,mobile_first_guest,synthetic
PFD-000156,SVY-000248,GST-000248,BB-046,2024-01-26,Chai Tea Latte,tea,0,0,1,4,1,balanced,good_value,price_sensitive_guest,synthetic
PFD-000157,SVY-000249,GST-000249,BB-040,2024-02-24,Avocado Toast,food,0,0,1,4,4,balanced,good_value,loyalty_regular,synthetic
PFD-000158,SVY-000251,GST-000251,BB-010,2024-02-02,Iced Matcha Latte,tea,0,0,1,3,4,balanced,too_expensive,price_sensitive_guest,synthetic
PFD-000159,SVY-000252,GST-000252,BB-058,2024-03-05,Classic Latte,espresso,0,0,1,4,5,not_sweet_enough,good_value,mobile_first_guest,synthetic
PFD-000160,SVY-000253,GST-000253,BB-025,2024-01-22,Seasonal Cold Brew,cold_brew,1,1,1,3,2,balanced,fair,occasional_guest,synthetic
PFD-000161,SVY-000256,GST-000256,BB-050,2024-06-16,Iced Matcha Latte,tea,0,1,1,4,3,too_sweet,good_value,price_sensitive_guest,synthetic
PFD-000162,SVY-000259,GST-000259,BB-048,2024-02-01,Chai Tea Latte,tea,0,1,1,5,3,too_sweet,good_value,mobile_first_guest,synthetic
PFD-000163,SVY-000260,GST-000260,BB-037,2024-05-24,Iced Matcha Latte,tea,0,1,1,3,4,balanced,too_expensive,mobile_first_guest,synthetic
PFD-000164,SVY-000261,GST-000261,BB-001,2024-03-13,Oat Milk Cortado,espresso,0,0,1,2,1,balanced,fair,at_risk_guest,synthetic
PFD-000165,SVY-000263,GST-000263,BB-064,2024-06-28,Chocolate Croissant,bakery,0,0,1,4,2,balanced,good_value,mobile_first_guest,synthetic
PFD-000166,SVY-000264,GST-000264,BB-013,2024-04-03,Cold Brew,cold_brew,0,1,1,2,2,balanced,good_value,at_risk_guest,synthetic
PFD-000167,SVY-000265,GST-000265,BB-019,2024-05-15,Breakfast Burrito,food,0,0,1,4,2,balanced,good_value,price_sensitive_guest,synthetic
PFD-000168,SVY-000267,GST-000267,BB-037,2024-04-19,Classic Latte,espresso,0,0,1,1,1,balanced,good_value,at_risk_guest,synthetic
PFD-000169,SVY-000269,GST-000269,BB-074,2024-06-11,Seasonal Cold Brew,cold_brew,1,1,1,4,3,not_sweet_enough,fair,price_sensitive_guest,synthetic
PFD-000170,SVY-000270,GST-000270,BB-064,2024-02-22,Iced Matcha Latte,tea,0,0,1,4,4,balanced,fair,loyalty_regular,synthetic
PFD-000171,SVY-000271,GST-000271,BB-008,2024-02-06,Caramel Macchiato,espresso,0,0,1,3,2,too_sweet,fair,mobile_first_guest,synthetic
PFD-000172,SVY-000273,GST-000273,BB-075,2024-06-07,Classic Latte,espresso,0,0,1,4,3,too_sweet,too_expensive,mobile_first_guest,synthetic
PFD-000173,SVY-000274,GST-000274,BB-076,2024-03-26,Chocolate Croissant,bakery,0,0,1,4,4,balanced,fair,loyalty_regular,synthetic
PFD-000174,SVY-000276,GST-000276,BB-089,2024-04-29,Pumpkin Spice Latte,espresso,1,1,1,4,4,balanced,too_expensive,seasonal_product_explorer,synthetic
