guest_id,loyalty_member_flag,visit_frequency_30d,days_since_last_visit,promo_exposure_flag,promo_redeemed_flag,mobile_order_usage_rate,rewards_redemption_count,churn_risk_proxy,data_source
GST-000215,1,6,40,0,0,0.809,2,0.0,synthetic
GST-000216,0,1,19,0,0,0.427,1,0.552,synthetic
GST-000217,0,1,5,0,0,0.645,0,0.046,synthetic
GST-000218,1,7,40,1,0,0.172,3,0.091,synthetic
GST-000219,0,1,24,1,1,0.272,0,0.08,synthetic
GST-000220,0,2,23,1,0,0.434,0,0.455,synthetic
GST-000221,1,3,19,1,1,0.461,3,0.186,synthetic
GST-000222,1,4,10,1,1,0.576,1,0.0,synthetic
GST-000223,0,0,42,1,0,0.269,0,0.24,synthetic
GST-000224,0,1,14,0,0,0.217,0,0.291,synthetic
GST-000225,0,0,36,1,1,0.36,0,0.002,synthetic
GST-000226,0,1,37,1,0,0.323,0,0.125,synthetic
GST-000227,0,0,17,1,0,0.316,1,0.21,synthetic
GST-000228,1,3,44,0,1,0.313,5,0.303,synthetic
GST-000229,0,1,37,1,0,0.244,1,0.439,synthetic
GST-000230,1,1,8,0,1,0.364,3,0.299,synthetic
GST-000231,1,2,15,0,1,0.472,2,0.599,synthetic
GST-000232,0,0,35,0,0,0.148,0,0.478,synthetic
GST-000233,1,2,8,1,0,0.45,5,0.127,synthetic
GST-000234,1,7,17,1,1,0.221,3,0.169,synthetic
GST-000235,1,4,13,0,0,0.631,1,0.113,synthetic
GST-000236,1,1,37,1,0,0.287,2,0.084,synthetic
GST-000237,1,1,30,1,0,0.522,2,0.85,synthetic
GST-000238,0,1,25,1,0,0.25,0,0.352,synthetic
GST-000239,1,7,9,1,0,0.741,4,0.0,synthetic
GST-000240,0,1,32,1,0,0.258,0,0.298,synthetic
GST-000241,1,2,24,0,0,0.898,2,0.164,synthetic
GST-000242,1,3,24,0,0,0.468,2,0.098,synthetic
GST-000243,0,0,3,0,0,0.678,1,0.072,synthetic
GST-000244,1,3,21,1,1,0.746,2,0.234,synthetic
GST-000245,0,2,6,1,1,0.944,0,0.005,synthetic
GST-000246,1,0,37,0,0,0.277,3,0.481,synthetic
GST-000247,1,6,21,1,0,0.416,2,0.0,synthetic
GST-000248,0,2,32,1,0,0.588,0,0.279,synthetic
GST-000249,1,4,37,1,0,0.511,3,0.0,synthetic
GST-000250,1,5,35,0,0,1.0,2,0.068,synthetic
GST-000251,0,1,9,0,0,0.295,0,0.233,synthetic
GST-000252,1,6,26,0,0,0.554,2,0.328,synthetic
GST-000253,1,4,6,0,0,0.328,0,0.358,synthetic
GST-000254,0,1,41,0,0,0.584,0,0.475,synthetic
GST-000255,1,4,31,1,0,0.593,2,0.0,synthetic
GST-000256,0,1,35,1,1,0.544,0,0.143,synthetic
GST-000257,1,4,9,1,0,0.365,1,0.326,synthetic
GST-000258,1,6,26,0,0,0.598,1,0.191,synthetic
GST-000259,1,3,36,0,0,0.91,1,0.085,synthetic
GST-000260,0,1,33,0,0,0.738,0,0.265,synthetic
GST-000261,0,1,25,0,1,0.0,0,0.267,synthetic
GST-000262,0,2,3,1,0,0.242,0,0.588,synthetic
GST-000263,1,4,11,1,1,0.974,2,0.048,synthetic
GST-000264,1,2,23,0,0,0.361,0,0.556,synthetic
GST-000265,0,3,2,1,0,0.492,0,0.347,synthetic
GST-000266,0,1,23,1,0,0.266,0,0.063,synthetic
GST-000267,1,5,22,0,0,0.545,2,0.731,synthetic
GST-000268,1,8,41,0,0,0.406,1,0.045,synthetic
GST-000269,0,0,21,1,0,0.416,0,0.221,synthetic
GST-000270,0,2,7,1,0,0.529,0,0.0,synthetic
GST-000271,0,0,15,0,1,0.615,0,0.358,synthetic
GST-000272,0,1,39,1,0,0.199,0,0.178,synthetic
GST-000273,0,1,32,1,0,1.0,0,0.104,synthetic
GST-000274,1,3,39,1,0,0.525,2,0.07,synthetic
GST-000275,1,3,11,1,0,0.329,1,0.0,synthetic
GST-000276,1,6,29,1,0,1.0,0,0.072,synthetic
GST-000277,1,3,7,1,0,0.61,0,0.345,synthetic
GST-000278,0,1,20,0,0,0.469,1,0.141,synthetic
GST-000279,1,6,7,1,0,0.832,0,0.104,synthetic
GST-000280,0,1,11,0,0,1.0,0,0.064,synthetic
GST-000281,1,0,38,1,0,0.465,2,0.069,synthetic
GST-000282,0,0,41,0,0,0.378,1,0.326,synthetic
GST-000283,0,1,29,0,0,0.483,0,0.118,synthetic
GST-000284,1,5,24,0,0,0.386,4,0.237,synthetic
GST-000285,1,3,41,0,1,0.437,2,0.171,synthetic
GST-000286,1,1,17,1,1,0.361,1,0.024,synthetic
GST-000287,1,5,41,1,0,0.509,0,0.22,synthetic
GST-000288,0,3,33,1,0,0.478,0,0.239,synthetic
GST-000289,1,1,30,0,1,0.184,0,0.0,synthetic
GST-000290,1,3,20,1,0,0.25,3,0.064,synthetic
GST-000291,1,3,13,0,1,0.799,0,0.142,synthetic
GST-000292,1,2,10,1,1,0.482,0,0.0,synthetic
GST-000293,0,1,16,0,0,0.698,0,0.511,synthetic
GST-000294,1,4,39,1,1,0.036,3,0.528,synthetic
GST-000295,1,2,1,0,1,0.14,1,0.035,synthetic
GST-000296,1,8,40,1,0,0.517,1,0.31,synthetic
GST-000297,1,4,4,0,0,0.577,2,0.15,synthetic
GST-000298,0,4,23,0,0,0.539,0,0.163,synthetic
GST-000299,0,3,18,0,0,0.387,1,0.223,synthetic
GST-000300,1,4,15,1,0,0.818,2,0.277,synthetic
GST-000301,0,1,15,1,0,0.309,1,0.552,synthetic
GST-000302,1,5,25,0,0,0.256,3,0.0,synthetic
GST-000303,0,1,37,1,0,0.496,1,0.0,synthetic
GST-000304,0,1,11,1,0,0.266,0,0.625,synthetic
GST-000305,1,3,16,1,1,1.0,3,0.169,synthetic
GST-000306,0,0,32,1,0,0.409,0,0.664,synthetic
GST-000307,1,2,31,1,0,0.295,1,0.069,synthetic
GST-000308,0,0,1,1,0,0.815,0,0.061,synthetic
GST-000309,0,0,7,0,0,0.405,0,0.472,synthetic
GST-000310,1,4,19,0,1,0.453,0,0.061,synthetic
GST-000311,0,0,29,0,0,0.429,0,0.12,synthetic
GST-000312,0,2,11,0,0,0.4,0,0.197,synthetic
GST-000313,1,1,14,1,0,0.378,3,0.223,synthetic
GST-000314,1,4,35,1,1,0.543,1,0.0,synthetic
GST-000315,1,4,36,1,0,0.418,2,0.49,synthetic
GST-000316,1,5,39,1,0,0.156,0,0.346,synthetic
GST-000317,0,0,27,0,0,0.247,1,0.233,synthetic
GST-000318,1,3,30,1,1,0.458,1,0.163,synthetic
GST-000319,0,2,11,1,0,0.031,0,0.143,synthetic
GST-000320,1,5,43,0,0,0.008,3,0.404,synthetic
GST-000321,0,3,27,0,0,0.353,1,0.057,synthetic
GST-000322,0,1,8,0,0,0.274,0,0.256,synthetic
GST-000323,1,3,36,1,1,0.617,2,0.177,synthetic
GST-000324,0,1,6,1,0,0.066,1,0.091,synthetic
GST-000325,1,4,32,1,0,0.452,3,0.012,synthetic
GST-000326,1,6,20,1,0,0.37,3,0.0,synthetic
GST-000327,1,2,42,0,1,0.51,3,0.436,synthetic
GST-000328,1,4,10,0,0,0.593,1,0.0,synthetic
GST-000329,1,2,30,1,0,0.288,2,0.269,synthetic
GST-000330,0,0,39,1,0,0.068,0,0.077,synthetic
GST-000331,0,2,43,1,0,0.451,0,0.426,synthetic
GST-000332,1,4,21,0,0,0.493,1,0.54,synthetic
GST-000333,0,3,43,1,0,0.924,1,0.176,synthetic
GST-000334,0,2,5,1,0,0.218,0,0.599,synthetic
GST-000335,1,2,20,1,0,0.426,3,0.134,synthetic
GST-000336,0,1,17,1,0,0.997,0,0.09,synthetic
GST-000337,1,5,35,0,0,0.468,2,0.0,synthetic
GST-000338,0,0,5,0,0,0.488,0,0.169,synthetic
GST-000339,1,5,31,1,0,0.521,2,0.154,synthetic
GST-000340,0,5,24,1,0,0.307,0,0.359,synthetic
GST-000341,1,2,33,1,0,0.335,1,0.305,synthetic
GST-000342,1,4,11,0,1,0.565,3,0.672,synthetic
GST-000343,0,2,28,1,1,0.081,1,0.078,synthetic
GST-000344,0,2,44,1,1,0.19,0,0.232,synthetic
GST-000345,0,0,14,0,0,0.209,0,0.077,synthetic
GST-000346,1,3,7,0,0,0.688,4,0.098,synthetic
GST-000347,1,3,4,1,1,0.596,2,0.208,synthetic
GST-000348,0,0,44,0,0,0.305,1,0.153,synthetic
GST-000349,0,0,39,0,0,0.29,0,0.648,synthetic
GST-000350,1,6,19,0,0,0.698,2,0.315,synthetic
GST-000351,1,3,12,0,0,0.838,4,0.23,synthetic
GST-000352,1,3,30,1,0,0.404,0,0.0,synthetic
GST-000353,0,1,16,0,1,0.468,0,0.176,synthetic
GST-000354,0,1,38,0,0,0.41,0,0.43,synthetic
GST-000355,1,6,13,1,0,0.135,0,0.27,synthetic
GST-000356,1,2,36,1,0,0.524,2,0.273,synthetic
GST-000357,1,5,4,0,0,0.393,2,0.201,synthetic
GST-000358,1,6,44,1,1,0.518,3,0.098,synthetic
GST-000359,1,3,31,1,0,0.628,8,0.148,synthetic
GST-000360,1,5,39,0,0,0.529,1,0.03,synthetic
GST-000361,0,1,15,1,0,0.746,0,0.0,synthetic
GST-000362,1,4,33,0,0,0.207,3,0.148,synthetic
GST-000363,0,1,3,0,0,0.426,0,0.027,synthetic
GST-000364,1,8,3,0,1,0.327,3,0.118,synthetic
GST-000365,0,0,42,0,0,0.823,0,0.422,synthetic
GST-000366,0,1,24,1,0,0.617,0,0.421,synthetic
GST-000367,1,0,15,0,0,0.523,2,0.0,synthetic
GST-000368,0,0,36,0,0,0.286,0,0.278,synthetic
GST-000369,1,3,43,1,0,0.631,0,0.279,synthetic
GST-000370,1,4,37,0,1,0.303,3,0.068,synthetic
GST-000371,0,0,25,0,0,0.175,0,0.45,synthetic
GST-000372,1,3,35,0,0,0.396,0,0.0,synthetic
GST-000373,1,3,11,1,0,0.583,2,0.093,synthetic
GST-000374,0,2,15,1,1,0.515,1,0.376,synthetic
GST-000375,0,0,22,0,0,0.135,0,0.135,synthetic
GST-000376,1,3,18,1,0,0.341,1,0.319,synthetic
GST-000377,0,3,40,1,1,0.555,0,0.284,synthetic
GST-000378,0,2,13,0,0,0.34,1,0.139,synthetic
GST-000379,1,1,22,0,1,0.939,3,0.217,synthetic
GST-000380,1,6,35,1,0,0.878,2,0.205,synthetic
GST-000381,1,1,40,1,1,0.52,1,0.118,synthetic
GST-000382,1,4,39,1,0,0.558,2,0.146,synthetic
GST-000383,0,1,11,1,0,0.199,0,0.746,synthetic
GST-000384,1,3,10,0,1,0.453,4,0.478,synthetic
GST-000385,0,0,17,1,0,0.072,0,0.229,synthetic
GST-000386,1,3,20,1,0,0.719,2,0.106,synthetic
GST-000387,0,0,25,1,0,0.086,0,0.588,synthetic
GST-000388,1,4,24,0,0,0.833,3,0.028,synthetic
GST-000389,0,1,1,0,0,0.473,0,0.152,synthetic
GST-000390,0,2,12,1,0,0.451,0,0.167,synthetic
GST-000391,1,4,38,0,1,0.39,3,0.122,synthetic
GST-000392,0,1,23,1,0,0.317,0,0.159,synthetic
GST-000393,0,2,35,1,0,0.79,0,0.0,synthetic
GST-000394,1,1,17,0,1,0.47,0,0.125,synthetic
GST-000395,0,1,15,1,0,0.558,1,0.167,synthetic
GST-000396,1,3,2,0,0,0.301,1,0.0,synthetic
GST-000397,0,0,17,0,0,0.223,0,0.508,synthetic
GST-000398,0,2,41,0,0,0.209,3,0.526,synthetic
GST-000399,1,3,19,0,0,0.457,2,0.194,synthetic
GST-000400,0,2,26,0,0,0.384,1,0.809,synthetic
GST-000401,1,2,20,1,1,0.483,3,0.052,synthetic
GST-000402,0,2,13,1,0,0.903,0,0.251,synthetic
GST-000403,1,3,18,0,1,0.543,3,0.099,synthetic
GST-000404,1,5,2,1,1,0.422,0,0.271,synthetic
GST-000405,1,7,10,0,0,0.368,2,0.131,synthetic
GST-000406,0,2,20,0,0,0.36,0,0.163,synthetic
GST-000407,1,5,44,0,0,0.524,1,0.26,synthetic
GST-000408,1,5,5,0,0,0.235,4,0.0,synthetic
GST-000409,1,5,21,0,0,0.714,3,0.034,synthetic
GST-000410,1,6,12,1,0,0.602,4,0.319,synthetic
GST-000411,0,2,26,0,0,0.948,0,0.235,synthetic
GST-000412,1,3,5,1,1,0.327,1,0.149,synthetic
GST-000413,1,3,31,0,1,0.845,1,0.0,synthetic
GST-000414,0,2,31,0,0,0.378,0,0.058,synthetic
GST-000415,0,0,24,0,1,0.376,0,0.08,synthetic
GST-000416,1,3,42,0,1,0.401,1,0.672,synthetic
GST-000417,0,0,1,1,0,0.675,0,0.096,synthetic
GST-000418,0,1,42,1,0,0.365,0,0.198,synthetic
GST-000419,0,2,31,1,0,0.332,2,0.09,synthetic
GST-000420,0,1,42,0,0,0.663,0,0.23,synthetic
GST-000421,0,1,32,1,0,0.221,0,0.358,synthetic
GST-000422,1,3,20,0,0,0.471,4,0.492,synthetic
GST-000423,1,4,29,0,1,0.457,1,0.31,synthetic
GST-000424,0,0,11,0,0,0.412,0,0.377,synthetic
GST-000425,0,1,16,1,0,1.0,0,0.188,synthetic
GST-000426,1,4,13,1,1,0.39,1,0.221,synthetic
GST-000427,1,5,28,1,0,0.18,2,0.465,synthetic
GST-000428,1,0,21,1,0,0.593,3,0.159,synthetic
GST-000429,0,1,43,0,1,0.366,0,0.196,synthetic
GST-000430,0,2,12,1,1,0.496,0,0.044,synthetic
GST-000431,1,1,44,1,1,0.455,3,0.25,synthetic
GST-000432,1,5,6,1,0,0.7,0,0.275,synthetic
GST-000433,1,3,11,1,0,0.451,2,0.0,synthetic
GST-000434,1,3,5,1,0,0.906,0,0.184,synthetic
GST-000435,1,1,13,0,1,0.194,2,0.0,synthetic
GST-000436,0,0,17,1,0,0.407,0,0.145,synthetic
GST-000437,1,3,10,1,1,0.316,1,0.361,synthetic
GST-000438,1,7,14,1,0,0.219,2,0.218,synthetic
GST-000439,1,2,2,1,0,0.19,0,0.292,synthetic
GST-000440,0,2,3,0,0,0.404,0,0.281,synthetic
GST-000441,0,0,16,1,0,0.254,0,0.227,synthetic
GST-000442,0,3,4,1,0,0.41,0,0.838,synthetic
GST-000443,0,1,5,0,0,0.302,0,0.19,synthetic
GST-000444,1,5,11,0,0,0.223,2,0.179,synthetic
GST-000445,1,5,9,1,0,0.66,2,0.106,synthetic
